name,author,date,press,price,evaluate,introduction
 计算机科学基础 翻译自国外经典计算机科学基础教材，可作为大学通识课教材或计算机导论课教材。,蒂莫西, /2021-04-01,清华大学出版社
 计算机组装、维护、维修全能一本通 电脑组装与维修入门教程，以当前软硬件型号为主流，系统的计算机组装维护知识，丰富的实践经验分享，支持微课学习，附赠讲解视频、教学PPT及教案大纲等学习资源。,蔡飓, /2021-11-01,人民邮电出版社
 DK图解计算机科学 儿童STEM创新思维培养 本书用图画方式深入计算机“内部”，帮助孩子掌握计算机的基本工作原理，学会用计算机解决生活中的小问题、小麻烦。,英国DK公司, /2020-06-01,清华大学出版社
 OpenCV计算机视觉项目实战（Python版） 图像修复、人脸识别、车牌识别…全彩讲解生动案例，深入剖析函数原理,洪锦魁, /2023-05-01,清华大学出版社
 3D计算机图形学基础 ,史蒂文·J.戈特勒, /2020-10-01,清华大学出版社
 计算机常用词通用手语 聋校、聋人职业技术学校、特殊教育学校和计算机专业教师的教材和工具书。,中国聋人协会, /2017-10-01,华夏出版社
 大学计算机实践（Windows10+Office2016） ,张凤梅, /2021-02-26,科学出版社
 大学计算机基础（第二版） ,何黎霞, /2022-01-01,科学出版社
 像计算机科学家一样思考Python 第2版 学会 像计算机科学家一样思考 轻松学Python,艾伦, /2016-07-01,人民邮电出版社
 计算机网络 ,李军怀, /2019-01-18,科学出版社
 计算机绘图——AutoCAD+Autodesk Inventor（普通高等教育“十三五”规划教材） ,赵军, /2016-07-01,水利水电出版社
 计算机网络 普通高等教育计算机系列规划教材;,汪军, /2020-03-04,科学出版社
