name,actor,information,date,star,evaluate,introduction
阿凡达,萨姆·沃辛顿SamWorthington..., 美国   动作科幻冒险,2009 ,8.8,1436200人评价,绝对意义上的美轮美奂。
拯救大兵瑞恩,汤姆·汉克斯TomHanks..., 美国   剧情战争,1998 ,9.1,654461人评价,美利坚精神输出大片No1.
哈利·波特与死亡圣器(下),丹尼尔·雷德克里夫DanielRadcliffe..., 美国英国   奇幻冒险,2011 ,9.0,843547人评价,10年的完美句点。
飞越疯人院,杰克·尼科尔森JackNichols..., 美国   剧情,1975 ,9.1,552480人评价,自由万岁。
小鞋子,默罕默德·阿米尔·纳吉Mohamma..., 伊朗   剧情儿童家庭,1997 ,9.2,415947人评价,奔跑的孩子是天使。
沉默的羔羊,朱迪·福斯特JodieFoster/安..., 美国   剧情犯罪惊悚,1991 ,8.9,900847人评价,安东尼·霍普金斯的顶级表演。
布达佩斯大饭店,拉尔夫·费因斯RalphFiennes/..., 美国德国英国   剧情喜剧冒险,2014 ,8.9,950013人评价,小清新的故事里注入了大历史的情怀。
禁闭岛,莱昂纳多·迪卡普里奥LeonardoDiCaprio/..., 美国   剧情悬疑惊悚,2010 ,8.9,990417人评价,昔日翩翩少年，今日大腹便便。
功夫,周星驰StephenChow/元秋QiuYuen/..., 中国大陆中国香港   动作喜剧犯罪奇幻,2004 ,8.8,1150993人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
蝴蝶效应,无信息, 美国加拿大   剧情悬疑科幻惊悚,2004 ,8.9,949770人评价,人的命运被自己瞬间的抉择改变。
致命魔术,休·杰克曼HughJackman..., 英国美国   剧情悬疑惊悚,2006 ,8.9,871477人评价,孪生蝙蝠侠大战克隆金刚狼。
哈利·波特与阿兹卡班的囚徒,丹尼尔·雷德克里夫DanielRadcliffe/Emma..., 英国美国   奇幻冒险,2004 ,8.9,743395人评价,不一样的导演，不一样的哈利·波特。
心灵捕手,马特·达蒙MattDamon/罗宾·..., 美国   剧情,1997 ,8.9,723100人评价,人生中应该拥有这样的一段豁然开朗。
超脱,艾德里安·布洛迪AdrienBrody/马西..., 美国   剧情,2011 ,9.0,612261人评价,穷尽一生，我们要学会的，不过是彼此拥抱。
海豚湾,路易·西霍尤斯LouiePsihoyo..., 美国   纪录片,2009 ,9.3,359820人评价,海豚的微笑，是世界上最高明的伪装。
